GtC/yr,,,
year,FF emit,LUC emit,TOT emit
1850,0.05,0.66,0.71
1851,0.05,0.69,0.74
1852,0.06,0.70,0.76
1853,0.06,0.71,0.77
1854,0.07,0.72,0.79
1855,0.07,0.72,0.79
1856,0.08,0.73,0.81
1857,0.08,0.74,0.82
1858,0.08,0.75,0.83
1859,0.08,0.75,0.83
1860,0.09,0.72,0.81
1861,0.09,0.69,0.78
1862,0.10,0.68,0.78
1863,0.10,0.68,0.78
1864,0.11,0.67,0.78
1865,0.12,0.67,0.79
1866,0.12,0.66,0.78
1867,0.13,0.66,0.79
1868,0.13,0.66,0.79
1869,0.14,0.65,0.79
1870,0.15,0.70,0.85
1871,0.15,0.73,0.88
1872,0.17,0.75,0.92
1873,0.18,0.77,0.95
1874,0.17,0.78,0.95
1875,0.18,0.79,0.97
1876,0.19,0.80,0.99
1877,0.19,0.81,1.00
1878,0.19,0.83,1.02
1879,0.21,0.84,1.05
1880,0.23,0.85,1.08
1881,0.24,0.85,1.09
1882,0.25,0.86,1.11
1883,0.27,0.88,1.15
1884,0.27,0.88,1.15
1885,0.28,0.89,1.17
1886,0.28,0.89,1.17
1887,0.29,0.91,1.20
1888,0.33,0.91,1.24
1889,0.33,0.91,1.24
1890,0.35,0.95,1.30
1891,0.37,0.97,1.34
1892,0.37,0.98,1.35
1893,0.37,1.00,1.37
1894,0.38,1.01,1.39
1895,0.41,1.02,1.43
1896,0.42,1.03,1.45
1897,0.44,1.04,1.48
1898,0.46,1.05,1.51
1899,0.51,1.06,1.57
1900,0.53,1.09,1.62
1901,0.55,1.11,1.66
1902,0.56,1.12,1.68
1903,0.62,1.13,1.75
1904,0.62,1.14,1.76
1905,0.66,1.15,1.81
1906,0.69,1.16,1.85
1907,0.79,1.17,1.96
1908,0.76,1.18,1.94
1909,0.79,1.18,1.97
1910,0.83,1.18,2.01
1911,0.84,1.18,2.02
1912,0.88,1.16,2.04
1913,0.96,1.16,2.12
1914,0.87,1.15,2.02
1915,0.86,1.14,2.00
1916,0.92,1.13,2.05
1917,0.97,1.13,2.10
1918,0.95,1.13,2.08
1919,0.83,1.13,1.96
1920,0.96,1.16,2.12
1921,0.84,1.19,2.03
1922,0.88,1.21,2.09
1923,1.00,1.21,2.21
1924,1.01,1.22,2.23
1925,1.02,1.23,2.25
1926,1.00,1.23,2.23
1927,1.09,1.23,2.32
1928,1.09,1.24,2.33
1929,1.16,1.24,2.40
1930,1.07,1.25,2.32
1931,0.96,1.26,2.22
1932,0.87,1.28,2.15
1933,0.91,1.28,2.19
1934,0.99,1.29,2.28
1935,1.04,1.29,2.33
1936,1.14,1.30,2.44
1937,1.22,1.30,2.52
1938,1.15,1.31,2.46
1939,1.21,1.31,2.52
1940,1.32,1.37,2.69
1941,1.36,1.41,2.77
1942,1.35,1.42,2.77
1943,1.37,1.42,2.79
1944,1.39,1.42,2.81
1945,1.16,1.41,2.57
1946,1.27,1.41,2.68
1947,1.40,1.40,2.80
1948,1.48,1.38,2.86
1949,1.43,1.36,2.79
1950,1.64,1.48,3.12
1951,1.74,1.53,3.27
1952,1.76,1.56,3.32
1953,1.81,1.59,3.40
1954,1.85,1.64,3.49
1955,2.03,1.69,3.72
1956,2.16,1.74,3.90
1957,2.23,1.80,4.03
1958,2.30,1.85,4.15
1959,2.42,1.94,4.36
1960,2.56,1.79,4.35
1961,2.57,1.67,4.24
1962,2.66,1.61,4.27
1963,2.80,1.54,4.34
1964,2.96,1.49,4.45
1965,3.09,1.38,4.47
1966,3.24,1.32,4.56
1967,3.34,1.34,4.68
1968,3.52,1.36,4.88
1969,3.76,1.27,5.03
1970,4.07,1.26,5.33
1971,4.23,1.25,5.48
1972,4.43,1.25,5.68
1973,4.66,1.21,5.87
1974,4.64,1.18,5.82
1975,4.65,1.19,5.84
1976,4.91,1.17,6.08
1977,5.05,1.20,6.25
1978,5.21,1.15,6.36
1979,5.35,1.11,6.46
1980,5.32,1.11,6.43
1981,5.20,1.20,6.40
1982,5.15,1.20,6.35
1983,5.19,1.31,6.50
1984,5.37,1.45,6.82
1985,5.55,1.39,6.94
1986,5.63,1.40,7.03
1987,5.81,1.40,7.21
1988,6.03,1.38,7.41
1989,6.12,1.33,7.45
1990,6.21,1.33,7.54
1991,6.34,1.30,7.64
1992,6.16,1.33,7.49
1993,6.23,1.33,7.56
1994,6.27,1.45,7.72
1995,6.40,1.44,7.84
1996,6.59,1.44,8.03
1997,6.63,1.94,8.57
1998,6.61,1.50,8.11
1999,6.75,1.50,8.25
2000,6.95,1.40,8.35
2001,7.01,1.29,8.30
2002,7.17,1.41,8.58
2003,7.55,1.54,9.09
2004,7.82,1.46,9.28
2005,8.08,1.29,9.37
2006,8.35,1.38,9.73
2007,8.60,1.21,9.81
2008,8.76,1.27,10.03
2009,8.61,1.37,9.98
2010,9.11,1.32,10.43
2011,9.41,1.35,10.76
2012,9.55,1.32,10.87
2013,9.64,1.26,10.90
2014,9.71,1.34,11.05
2015,9.70,1.47,11.17
2016,9.70,1.24,10.94
2017,9.85,1.18,11.03
2018,10.05,1.14,11.19
2019,10.12,1.24,11.36
2020,9.62,1.11,10.73
2021,10.13,1.08,11.21